filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 75.49±6.65, 98.67±1.1, 0.0385, 84.55±2.42, <0.0001, 99.28±0.93, 0.8851, 19.43±2.42, <0.0001, 98.27±1.93, 0.0173, 6.37±2.11, <0.0001, 99.24±0.98, 3.93±0.87, 74.92±0.07
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 72.58±5.3, 99.05±1.07, 0.4262, 84.23±2.67, <0.0001, 99.31±0.86, 0.8599, 19.47±2.16, <0.0001, 99.04±1.06, 0.3983, 6±1.98, <0.0001, 99.26±1.0, 2.67±0.76, 72.04±0.05
../../Results/battery_wisconsin_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, wisconsin, 71.05±5.04, 98.97±1.06, 0.2041, 84.72±2.52, <0.0001, 99.33±1.0, 0.8951, 18.73±2.64, <0.0001, 99.11±1.01, 0.4685, 6.07±1.8, <0.0001, 99.3±0.91, 2.13±0.35, 70.55±0.05
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 86.78±4.92, 97.09±2.08, 0.825, 97.85±2.28, 0.1499, 98.12±1.78, 0.0413, 19.87±2.24, <0.0001, 97.55±2.0, 0.3131, 14.8±3.7, <0.0001, 96.96±2.47, 7.87±1.28, 84.14±0.12
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 83.3±7.78, 97.68±2.13, 0.9908, 98.31±1.84, 0.206, 98.38±1.99, 0.1735, 19.5±1.96, <0.0001, 98.11±1.77, 0.3779, 16.07±2.75, <0.0001, 97.69±1.89, 7.27±1.53, 81.38±0.15
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 80.2±9.01, 97.74±2.2, 0.9355, 98.24±1.6, 0.3698, 98.37±1.52, 0.2419, 19.8±2.14, <0.0001, 98.03±1.84, 0.6461, 15.6±2.66, <0.0001, 97.78±2.22, 5.33±1.15, 78.42±0.2
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 79.63±7.62, 97.89±1.57, 0.8363, 98.71±1.3, 0.0443, 98.7±1.32, 0.0495, 19.43±2.39, <0.0001, 98.33±1.54, 0.3542, 15.7±3.56, <0.0001, 97.97±1.51, 5.13±1.04, 78.01±0.11
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 76.56±9.59, 98.06±1.96, 0.6586, 98.64±1.55, 0.0856, 98.51±1.53, 0.1453, 18.8±2.61, <0.0001, 98.31±1.82, 0.3336, 15.23±2.9, <0.0001, 97.83±2.03, 3.87±0.73, 74.9±0.19
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 75.9±9.82, 97.89±1.54, 0.8491, 98.56±1.39, 0.0655, 98.73±1.31, 0.021, 19.17±2.69, <0.0001, 98.58±1.41, 0.0613, 14.57±3.45, <0.0001, 97.81±1.69, 3.67±0.66, 74.24±0.17
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 69.08±10.66, 98.24±1.29, 0.9442, 98.85±1.24, 0.1001, 99.1±1.26, 0.0232, 19.13±2.49, <0.0001, 98.68±1.21, 0.2172, 15.67±2.31, <0.0001, 98.22±1.65, 2.9±0.96, 67.85±0.18
../../Results/battery_wisconsin_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, wisconsin, 70.26±8.7, 98.55±1.37, 0.1913, 98.89±1.38, 0.0323, 99.15±1.26, 0.0042, 19.53±2.37, <0.0001, 98.76±1.21, 0.053, 15.77±2.79, <0.0001, 98.04±1.59, 2.7±0.92, 68.88±0.14
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 81.66±9.75, 97.75±1.95, 0.7841, 98.67±1.37, 0.0925, 98.59±1.52, 0.1423, 19.97±2.3, <0.0001, 98.35±2.0, 0.3929, 17.5±3.58, <0.0001, 97.89±2.09, 7.43±1.81, 79.93±0.2
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 83.55±7.38, 97.59±1.9, 0.4913, 98.44±1.45, 0.1675, 98.43±1.41, 0.1664, 19.57±2.65, <0.0001, 97.78±2.06, 0.8116, 16.73±3.49, <0.0001, 97.9±1.56, 7.5±1.83, 81.8±0.12
