filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 81.82±6.68, 97.69±1.8, 0.8625, 70.66±3.99, <0.0001, 99.01±0.76, 0.0139, 22.67±2.83, <0.0001, 91.54±4.65, <0.0001, 3.7±0.47, <0.0001, 97.58±2.99, 8.6±1.75, 79.84±0.2
../../Results/battery_kr-vs-kp_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, kr-vs-kp, 75.99±5.86, 99.4±0.65, 0.0032, 74.1±3.99, <0.0001, 99.3±0.69, 0.0071, 22.93±2.97, <0.0001, 94.31±3.37, <0.0001, 3.77±0.5, <0.0001, 98.36±1.73, 6.7±1.15, 74.74±0.1
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 93.24±4.69, 96.37±1.47, <0.0001, 99.78±0.23, <0.0001, 98.22±0.98, <0.0001, 22.03±2.67, 0.4065, 99.29±0.84, <0.0001, 24.2±2.87, 0.0035, 93.46±2.86, 21.23±4.51, 87.14±0.13
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 93.58±3.05, 96.26±1.15, 0.0006, 99.76±0.3, <0.0001, 98.13±1.09, <0.0001, 22.67±2.8, 0.0002, 99.36±0.59, <0.0001, 23±4.76, 0.002, 93.95±3.3, 19.7±2.93, 87.92±0.1
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 91.24±6.88, 96.09±1.37, 0.8372, 99.72±0.35, <0.0001, 98.45±0.89, 0.0001, 21.5±2.6, 0.0002, 99.23±0.83, <0.0001, 23.37±3.59, <0.0001, 95.97±3.14, 18.43±3.38, 87.56±0.22
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 89.56±6.03, 96.24±1.11, 0.215, 99.75±0.28, <0.0001, 98.45±1.01, <0.0001, 21.33±3.27, <0.0001, 99.34±0.7, <0.0001, 23.17±3.82, <0.0001, 95.4±3.47, 16.7±2.69, 85.44±0.21
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 90.56±4.36, 96.92±1.48, 0.3451, 99.8±0.26, <0.0001, 98.35±0.92, 0.0023, 22.17±2.74, <0.0001, 99.34±0.62, <0.0001, 22.83±3.96, <0.0001, 96.27±3.46, 15.67±1.9, 87.18±0.15
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 89.61±5.23, 97.12±1.55, 0.8311, 99.75±0.22, <0.0001, 98.58±0.86, 0.0145, 22.03±3.07, <0.0001, 99.55±0.46, 0.0001, 24.7±3.66, <0.0001, 96.98±3.38, 15.7±1.62, 86.91±0.18
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 86.69±6.41, 97.53±1.31, 0.4797, 99.8±0.25, 0.0001, 98.74±0.7, 0.0794, 20.87±2.6, <0.0001, 99.44±0.54, 0.0015, 23.43±3.38, <0.0001, 97.89±2.5, 14.43±2.05, 84.87±0.16
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 83.6±7.25, 97.47±1.68, 0.5393, 99.79±0.27, <0.0001, 98.83±0.76, 0.0058, 21.73±2.46, <0.0001, 99.59±0.36, 0.0001, 22.97±3.83, <0.0001, 97.05±3.31, 11.43±2.01, 81.14±0.24
