filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 94.71±5.43, 95.48±5.65, 0.5821, 66.05±3.89, <0.0001, 97.91±3.43, 0.1352, 26.37±3.9, <0.0001, 96.05±3.42, 0.8598, 4.73±0.94, <0.0001, 96.24±4.96, 3.53±0.78, 91.15±0.27
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 92.55±10.24, 94.28±18.24, 0.8721, 63.73±12.8, <0.0001, 94.77±18.29, 0.9536, 25.7±3.17, <0.0001, 93.26±18.19, 0.7056, 4.73±0.94, <0.0001, 95.04±18.23, 2.4±0.56, 87.96±1.87
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 78.43±24.34, 68.27±45.61, 0.7892, 43.9±31.02, 0.0439, 69.39±46.24, 0.7206, 25.87±3.5, <0.0001, 65.64±47.29, 0.9625, 4.87±0.94, <0.0001, 65.06±46.95, 1.77±0.5, 51.03±11.43
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 54.9±15.0, 15.13±34.65, 0.9684, 12.08±23.28, 0.6606, 16.33±37.18, 0.9289, 25.23±3.31, <0.0001, 15.71±35.86, 0.981, 4.8±0.76, <0.0001, 15.49±35.36, 1.17±0.38, 8.51±5.3
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 48.63±15.82, 12.55±32.61, 0.6553, 6.32±16.09, 0.6434, 12.74±33.08, 0.6404, 25.93±3.35, <0.0001, 9.21±28.17, 0.9811, 4.87±1.04, <0.0001, 9.04±27.69, 1.07±0.37, 4.4±4.38
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 51.37±16.7, 15.69±36.01, 0.7251, 10.59±20.53, 0.7817, 12.86±33.42, 0.9715, 25.8±3.48, <0.0001, 12.86±33.42, 0.9715, 4.63±1.0, <0.0001, 12.55±32.64, 1.1±0.4, 6.45±5.45
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 47.65±14.19, 2.86±15.65, 1.0, 3.72±13.48, 0.8208, 3.16±17.3, 0.9439, 26.1±3.38, <0.0001, 3.0±16.43, 0.9726, 4.77±0.86, <0.0001, 2.86±15.65, 1±0.26, 1.36±2.22
../../Results/battery_divorce_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, divorce, 45.88±10.64, 0.0±0.0, nan, 1.88±5.74, 0.0782, 0.0±0.0, nan, 25.07±3.37, <0.0001, 0.0±0.0, nan, 4.67±1.12, <0.0001, 0.0±0.0, 0.97±0.18, 0.0±0.0
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 95.49±11.0, 93.67±18.15, 0.5451, 94.01±18.17, 0.4997, 94.42±18.08, 0.4448, 25.6±3.01, <0.0001, 93.24±18.01, 0.6057, 5.43±0.63, <0.0001, 90.81±18.26, 2.83±0.59, 86.72±2.01
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 87.45±17.66, 86.74±30.17, 0.496, 82.24±37.52, 0.8781, 82.63±37.65, 0.8467, 26.8±3.55, <0.0001, 86.79±30.18, 0.4926, 5.37±0.81, <0.0001, 80.76±37.09, 2.1±0.55, 70.62±6.55
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 68.04±25.88, 46.36±47.78, 0.6221, 42.05±49.08, 0.8878, 42.5±49.52, 0.8603, 26.47±3.31, <0.0001, 45.09±49.26, 0.7011, 5.5±0.73, <0.0001, 40.29±47.08, 1.53±0.57, 27.42±12.18
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 54.71±19.18, 25.21±42.7, 0.9253, 26.22±44.25, 0.8546, 26.03±43.96, 0.868, 25.97±3.93, <0.0001, 25.4±42.94, 0.9118, 5.7±0.65, <0.0001, 24.2±40.97, 1.13±0.35, 13.24±7.86
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 58.24±22.14, 21.88±40.48, 0.8884, 22.52±41.59, 0.8407, 22.3±41.17, 0.8568, 25.3±3.53, <0.0001, 22.35±41.29, 0.8534, 5.33±0.66, <0.0001, 20.45±37.76, 1.2±0.41, 11.91±8.36
