filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, SPECT, 37.7±20.0, 85.41±29.37, 0.8509, 86.85±29.66, 1.0, 86.5±29.58, 0.964, 22.8±2.35, <0.0001, 86.85±29.66, 1.0, 2±0.0, 0.4723, 86.85±29.66, 1.83±1.26, 32.74±5.93
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, SPECT, 30.96±21.32, 76.05±39.22, 0.9766, 76.35±39.39, 1.0, 76.1±39.3, 0.9801, 22±2.53, <0.0001, 76.35±39.39, 1.0, 2±0.0, 0.1134, 76.35±39.39, 1.7±1.02, 23.64±8.4
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, SPECT, 18.72±20.69, 57.12±47.72, 0.9705, 57.58±47.94, 1.0, 57.58±47.99, 0.9998, 22.33±2.54, <0.0001, 57.58±47.94, 1.0, 2±0.0, <0.0001, 57.58±47.94, 0.77±0.77, 10.78±9.92
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, SPECT, 18.79±19.75, 53.28±47.73, 0.9811, 53.58±47.9, 1.0, 54.06±48.27, 0.9691, 21.67±1.81, <0.0001, 53.58±47.9, 1.0, 2±0.0, <0.0001, 53.58±47.9, 0.6±0.56, 10.07±9.46
../../Results/battery_SPECT_<class 'catboost.core.CatBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'catboost.core.CatBoostClassifier'>, SPECT, 13.97±22.42, 26.9±42.07, 0.9161, 28.07±43.62, 1.0, 27.73±43.1, 0.9758, 22±2.44, <0.0001, 28.07±43.62, 1.0, 2±0.0, <0.0001, 28.07±43.62, 0.33±0.55, 3.92±9.78
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 34.62±23.48, 81.77±32.88, 0.9333, 82.49±33.13, 1.0, 81.93±33.03, 0.9479, 22.13±2.62, <0.0001, 82.49±33.13, 1.0, 4.33±3.39, 0.0393, 82.49±33.13, 2.77±2.25, 28.56±7.78
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 31.97±22.76, 73.43±38.12, 0.8682, 74.91±38.67, 0.9861, 74.86±38.67, 0.9821, 22.5±1.94, <0.0001, 74.61±38.58, 0.962, 6.17±5.33, 0.0001, 75.08±38.76, 1.9±1.71, 24.0±8.82
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 27.25±23.36, 64.18±46.21, 1.0, 64.18±46.21, 1.0, 63.95±46.07, 0.9844, 22.07±2.12, <0.0001, 64.03±46.11, 0.9895, 4.23±5.28, 0.0072, 64.18±46.21, 1.47±1.31, 17.49±10.8
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 21.64±20.26, 62.16±44.95, 0.9597, 62.75±45.34, 1.0, 62.59±45.23, 0.9893, 22.4±1.92, <0.0001, 62.48±45.2, 0.982, 4.43±3.48, <0.0001, 62.75±45.34, 1.03±1.0, 13.58±9.19
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 28.97±21.83, 63.52±45.96, 0.9898, 63.67±46.01, 1.0, 63.61±46.0, 0.9959, 22.33±2.51, <0.0001, 63.66±46.01, 0.9994, 3.97±2.92, <0.0001, 63.67±46.01, 1.23±1.01, 18.45±10.04
